Fecha;Valor UF
31-dic-22;35,110.98
30-dic-22;35,099.72
29-dic-22;35,088.45
28-dic-22;35,077.19
27-dic-22;35,065.93
26-dic-22;35,054.68
25-dic-22;35,043.43
24-dic-22;35,032.18
23-dic-22;35,020.94
22-dic-22;35,009.70
21-dic-22;34,998.47
20-dic-22;34,987.23
19-dic-22;34,976.01
18-dic-22;34,964.78
17-dic-22;34,953.56
16-dic-22;34,942.34
15-dic-22;34,931.13
14-dic-22;34,919.92
13-dic-22;34,908.71
12-dic-22;34,897.51
11-dic-22;34,886.31
10-dic-22;34,875.11
09-dic-22;34,863.92
08-dic-22;34,858.13
07-dic-22;34,852.33
06-dic-22;34,846.54
05-dic-22;34,840.75
04-dic-22;34,834.95
03-dic-22;34,829.16
02-dic-22;34,823.37
01-dic-22;34,817.58
30-nov-22;34,811.80
29-nov-22;34,806.01
28-nov-22;34,800.22
27-nov-22;34,794.44
26-nov-22;34,788.65
25-nov-22;34,782.87
24-nov-22;34,777.09
23-nov-22;34,771.31
22-nov-22;34,765.53
21-nov-22;34,759.75
20-nov-22;34,753.97
19-nov-22;34,748.19
18-nov-22;34,742.41
17-nov-22;34,736.64
16-nov-22;34,730.86
15-nov-22;34,725.09
14-nov-22;34,719.32
13-nov-22;34,713.55
12-nov-22;34,707.78
11-nov-22;34,702.01
10-nov-22;34,696.24
09-nov-22;34,690.47
08-nov-22;34,680.44
07-nov-22;34,670.42
06-nov-22;34,660.40
05-nov-22;34,650.39
04-nov-22;34,640.37
03-nov-22;34,630.36
02-nov-22;34,620.36
01-nov-22;34,610.35
31-oct-22;34,600.35
30-oct-22;34,590.35
29-oct-22;34,580.35
28-oct-22;34,570.36
27-oct-22;34,560.37
26-oct-22;34,550.38
25-oct-22;34,540.40
24-oct-22;34,530.42
23-oct-22;34,520.44
22-oct-22;34,510.46
21-oct-22;34,500.49
20-oct-22;34,490.52
19-oct-22;34,480.55
18-oct-22;34,470.59
17-oct-22;34,460.63
16-oct-22;34,450.67
15-oct-22;34,440.71
14-oct-22;34,430.76
13-oct-22;34,420.81
12-oct-22;34,410.86
11-oct-22;34,400.92
10-oct-22;34,390.98
09-oct-22;34,381.04
08-oct-22;34,367.37
07-oct-22;34,353.71
06-oct-22;34,340.05
05-oct-22;34,326.40
04-oct-22;34,312.76
03-oct-22;34,299.11
02-oct-22;34,285.48
01-oct-22;34,271.85
30-sept-22;34,258.23
29-sept-22;34,244.61
28-sept-22;34,230.99
27-sept-22;34,217.38
26-sept-22;34,203.78
25-sept-22;34,190.18
24-sept-22;34,176.59
23-sept-22;34,163.01
22-sept-22;34,149.42
21-sept-22;34,135.85
20-sept-22;34,122.28
19-sept-22;34,108.71
18-sept-22;34,095.15
17-sept-22;34,081.60
16-sept-22;34,068.05
15-sept-22;34,054.51
14-sept-22;34,040.97
13-sept-22;34,027.44
12-sept-22;34,013.91
11-sept-22;34,000.39
10-sept-22;33,986.87
09-sept-22;33,973.36
08-sept-22;33,958.13
07-sept-22;33,942.90
06-sept-22;33,927.68
05-sept-22;33,912.47
04-sept-22;33,897.26
03-sept-22;33,882.06
02-sept-22;33,866.87
01-sept-22;33,851.69
31-ago-22;33,836.51
30-ago-22;33,821.34
29-ago-22;33,806.17
28-ago-22;33,791.01
27-ago-22;33,775.86
26-ago-22;33,760.72
25-ago-22;33,745.58
24-ago-22;33,730.45
23-ago-22;33,715.33
22-ago-22;33,700.21
21-ago-22;33,685.10
20-ago-22;33,669.99
19-ago-22;33,654.90
18-ago-22;33,639.81
17-ago-22;33,624.72
16-ago-22;33,609.65
15-ago-22;33,594.58
14-ago-22;33,579.51
13-ago-22;33,564.46
12-ago-22;33,549.41
11-ago-22;33,534.37
10-ago-22;33,519.33
09-ago-22;33,504.30
08-ago-22;33,494.62
07-ago-22;33,484.94
06-ago-22;33,475.26
05-ago-22;33,465.59
04-ago-22;33,455.92
03-ago-22;33,446.25
02-ago-22;33,436.58
01-ago-22;33,426.92
31-jul-22;33,417.26
30-jul-22;33,407.60
29-jul-22;33,397.95
28-jul-22;33,388.30
27-jul-22;33,378.65
26-jul-22;33,369.00
25-jul-22;33,359.36
24-jul-22;33,349.72
23-jul-22;33,340.08
22-jul-22;33,330.45
21-jul-22;33,320.82
20-jul-22;33,311.19
19-jul-22;33,301.56
18-jul-22;33,291.94
17-jul-22;33,282.32
16-jul-22;33,272.70
15-jul-22;33,263.08
14-jul-22;33,253.47
13-jul-22;33,243.86
12-jul-22;33,234.25
11-jul-22;33,224.65
10-jul-22;33,215.05
09-jul-22;33,205.45
08-jul-22;33,192.25
07-jul-22;33,179.05
06-jul-22;33,165.86
05-jul-22;33,152.68
04-jul-22;33,139.50
03-jul-22;33,126.33
02-jul-22;33,113.16
01-jul-22;33,099.99
30-jun-22;33,086.83
29-jun-22;33,073.68
28-jun-22;33,060.53
27-jun-22;33,047.39
26-jun-22;33,034.25
25-jun-22;33,021.12
24-jun-22;33,007.99
23-jun-22;32,994.87
22-jun-22;32,981.75
21-jun-22;32,968.64
20-jun-22;32,955.54
19-jun-22;32,942.44
18-jun-22;32,929.34
17-jun-22;32,916.25
16-jun-22;32,903.16
15-jun-22;32,890.08
14-jun-22;32,877.01
13-jun-22;32,863.94
12-jun-22;32,850.87
